# Version 1.00
#
power[dBm],re:Trc1_S11[U],im:Trc1_S11[U],Trc2_S12[dB],Trc3_S21[dB],Trc4_S11[dB],Trc5_b2d1/a1d1sam[dB],Trc6_S12[dB],Trc7_S22[dB],
-3.882755251587690E+001,6.823878967743541E-002,-1.501054995175304E-004,-6.321965015964791E+001,-2.072604090593294E+001,-2.331935267914975E+001,-2.095966218831659E+000,-6.321965015964791E+001,-2.515530733344977E+001,
-3.880801172447484E+001,6.410077889512202E-002,2.483698684049947E-003,-6.245825030195944E+001,-1.101357938610667E+001,-2.385621863647339E+001,-2.224579587352499E+000,-6.245825030195944E+001,-3.509780427638354E+001,
-3.878847093307279E+001,6.305216701192756E-002,9.930563903633805E-004,-6.642756546869549E+001,-2.935863289080570E+001,-2.400492250011216E+001,-2.199174353648727E+000,-6.642756546869549E+001,-2.676926715033735E+001,
-3.876893014167074E+001,6.291608264840491E-002,-1.368077237655440E-003,-9.112978378548097E+001,-3.658027403858993E+001,-2.402271355918249E+001,-1.675276862246316E+000,-9.112978378548097E+001,-2.360848195252600E+001,
-3.874938935026869E+001,6.464007302679503E-002,3.257057724904067E-003,-6.621220438918932E+001,-8.810136251704185E+000,-2.377895086141187E+001,-2.279594030604797E+000,-6.621220438918932E+001,-2.334249072504959E+001,
-3.872984855886664E+001,6.732504377620982E-002,-2.783947900049788E-003,-5.743899146200376E+001,-1.474763067101491E+001,-2.342904748148764E+001,-2.403062576802932E+000,-5.743899146200376E+001,-2.679409735793266E+001,
-3.871030776746459E+001,6.400171325755504E-002,-5.844136864133047E-004,-6.568088781941107E+001,-2.223155607895253E+001,-2.387580590918503E+001,-2.269760073827267E+000,-6.568088781941107E+001,-2.844536004831679E+001,
-3.869076697606253E+001,6.555190490029768E-002,3.771816033538938E-003,-6.521047151719925E+001,-1.729354670884467E+001,-2.365393888212940E+001,-1.919795678896406E+000,-6.521047151719925E+001,-3.114560613072200E+001,
-3.867122618466048E+001,6.421270216401885E-002,1.125573880895803E-003,-8.560505932447099E+001,-1.385168205012861E+001,-2.384624687054100E+001,-1.589457180453550E+000,-8.560505932447099E+001,-2.683935845866478E+001,
-3.865168539325843E+001,6.509548480570156E-002,-2.454849117375531E-003,-7.451972479454076E+001,-1.522597635344798E+001,-2.372281071752630E+001,-1.903803452153095E+000,-7.451972479454076E+001,-3.727000804789871E+001,
-3.863214460185638E+001,6.661716904096336E-002,2.044779821795557E-003,-6.814281185531313E+001,-1.194051965131015E+001,-2.352418675428566E+001,-2.434032639996796E+000,-6.814281185531313E+001,-2.274337078280620E+001,
-3.861260381045432E+001,6.548526750054128E-002,-9.579542024340176E-005,-6.683451957960590E+001,-5.877555667376748E+000,-2.367711858831541E+001,-2.009932230928074E+000,-6.683451957960590E+001,-2.389959781900574E+001,
-3.859306301905227E+001,6.772881817659017E-002,1.826603345071786E-003,-6.562848289004967E+001,-1.169018016705077E+001,-2.338137237104958E+001,-1.783232043591422E+000,-6.562848289004967E+001,-3.700428631905002E+001,
-3.857352222765022E+001,6.455054456275139E-002,1.449677841551124E-003,-7.205991939798379E+001,-6.918296976880853E+000,-2.379981192326030E+001,-2.161107868467810E+000,-7.205991939798379E+001,-3.524597490874483E+001,
